Tipo de dato,Archivo,max_val,coef_var
BinaryDLL-AES,Binary_1KB.dll,4.3e-06,0.23195399922723398
BinaryDLL-ECDSA,Binary_1KB.dll,4.67e-05,0.10087944386146752
BinaryDLL-AES,Binary_2441KB.dll,0.00289,0.012390518515347232
BinaryDLL-ECDSA,Binary_2441KB.dll,0.0012743,0.006841746640267868
BinaryDLL-AES,Binary_488KB.dll,0.0005796,0.03216310881582076
BinaryDLL-ECDSA,Binary_488KB.dll,0.0002809,0.015921592107675717
BinaryDLL-AES,Binary_500MB.dll,0.5896417,0.016383907150005036
BinaryDLL-ECDSA,Binary_500MB.dll,0.2454337,0.00413560682221016
ImageJPG-AES,Image_1080p.jpg,0.001893,0.01721605781386297
ImageJPG-ECDSA,Image_1080p.jpg,0.0008278,0.012758642909276974
ImageJPG-AES,Image_4k.jpg,0.0112985,0.13659429137604892
ImageJPG-ECDSA,Image_4k.jpg,0.003061,0.005680521850191866
ImageJPG-AES,Image_720p.jpg,0.0009962,0.03252921409841154
ImageJPG-ECDSA,Image_720p.jpg,0.0004177,0.023503465016638657
PlainText-AES,PlainText_1KB.txt,7.3e-06,0.41420085593599143
PlainText-ECDSA,PlainText_1KB.txt,0.000578,1.8165255943605447
PlainText-AES,PlainText_2441KB.txt,0.0032252,0.032372446795074186
PlainText-ECDSA,PlainText_2441KB.txt,0.0014133,0.04093248328627367
PlainText-AES,PlainText_488KB.txt,0.0005834,0.033265165325775316
PlainText-ECDSA,PlainText_488KB.txt,0.0002916,0.02185440767589287
PlainText-AES,PlainText_500MB.txt,0.5734345,0.012595587092156036
PlainText-ECDSA,PlainText_500MB.txt,0.2536164,0.006860805016884442
