Archivo,Protocolo,media,mediana,Desviación estándar,Varianza,min_time,max_time,coef_variation
Binary_1KB.dll,AES-256 tiempo (s),1.4439999999999999e-06,1.4e-06,3.3494157488412584e-07,1.121858585858585e-13,1.3e-06,4.3e-06,0.23195399922723398
Binary_1KB.dll,ECDSA tiempo (s),2.4704000000000003e-05,2.41e-05,2.4921257811536938e-06,6.210690909090908e-12,2.39e-05,4.67e-05,0.10087944386146752
Binary_2441KB.dll,AES-256 tiempo (s),0.0027664499999999997,0.0027529,3.4277749946782345e-05,1.1749641414141369e-09,0.0027196,0.00289,0.012390518515347232
Binary_2441KB.dll,ECDSA tiempo (s),0.001212779,0.0012112,8.297526648637425e-06,6.884894848484823e-11,0.0012067,0.0012743,0.006841746640267868
Binary_488KB.dll,AES-256 tiempo (s),0.00045145600000000004,0.00044784999999999996,1.452022845355518e-05,2.1083703434343342e-10,0.0004468,0.0005796,0.03216310881582076
Binary_488KB.dll,ECDSA tiempo (s),0.000263825,0.0002619,4.200514037807546e-06,1.7644318181818252e-11,0.0002616,0.0002809,0.015921592107675717
Binary_500MB.dll,AES-256 tiempo (s),0.551271932,0.54780345,0.00903198814829189,8.157680991088518e-05,0.5414003,0.5896417,0.016383907150005036
Binary_500MB.dll,ECDSA tiempo (s),0.23823317500000002,0.2380289,0.000985238743806787,9.706953822979759e-07,0.237347,0.2454337,0.00413560682221016
Image_1080p.jpg,AES-256 tiempo (s),0.001779596,0.00177235,3.063762762131929e-05,9.386642262626263e-10,0.0017435,0.001893,0.01721605781386297
Image_1080p.jpg,ECDSA tiempo (s),0.000772654,0.00077025,9.858016478424492e-06,9.718048888888882e-11,0.0007657,0.0008278,0.012758642909276974
Image_4k.jpg,AES-256 tiempo (s),0.007238545,0.00691855,0.000988743924868642,9.776145489646467e-07,0.0067651,0.0112985,0.13659429137604892
Image_4k.jpg,ECDSA tiempo (s),0.003006662,0.0030038499999999997,1.7079409187141575e-05,2.91706218181816e-10,0.0029852,0.003061,0.005680521850191866
Image_720p.jpg,AES-256 tiempo (s),0.000875189,0.00086405,2.846921035757469e-05,8.104959383838379e-10,0.0008482,0.0009962,0.03252921409841154
Image_720p.jpg,ECDSA tiempo (s),0.000358901,0.0003552,8.435417097936631e-06,7.115626161616165e-11,0.0003547,0.0004177,0.023503465016638657
PlainText_1KB.txt,AES-256 tiempo (s),1.476e-06,1.4e-06,6.113604633615233e-07,3.7376161616161655e-13,1.3e-06,7.3e-06,0.41420085593599143
PlainText_1KB.txt,ECDSA tiempo (s),3.0455999999999998e-05,2.46e-05,5.5324103501844744e-05,3.06075642828283e-09,2.43e-05,0.000578,1.8165255943605447
PlainText_2441KB.txt,AES-256 tiempo (s),0.002786321,0.0027602,9.02000283264979e-05,8.136045110101022e-09,0.0027154,0.0032252,0.032372446795074186
PlainText_2441KB.txt,ECDSA tiempo (s),0.0012347810000000001,0.0012154499999999999,5.0542652644708294e-05,2.5545597363636383e-09,0.0012076,0.0014133,0.04093248328627367
PlainText_488KB.txt,AES-256 tiempo (s),0.000452445,0.0004474,1.5050657725820414e-05,2.265222979797977e-10,0.0004466,0.0005834,0.033265165325775316
PlainText_488KB.txt,ECDSA tiempo (s),0.000264261,0.00026195000000000005,5.7752676268391256e-06,3.335371616161603e-11,0.0002615,0.0002916,0.02185440767589287
PlainText_500MB.txt,AES-256 tiempo (s),0.549212668,0.54742325,0.006917655991909379,4.785396442239974e-05,0.5412077,0.5734345,0.012595587092156036
PlainText_500MB.txt,ECDSA tiempo (s),0.237738368,0.23743385,0.0016310765878803197,2.660410835531306e-06,0.2371893,0.2536164,0.006860805016884442
