Tipo de dato,Archivo,Tamaño (bytes),AES-256 tiempo total (s),ECDSA tiempo total (s),AES-256 tiempo medio/op,ECDSA tiempo medio/op
PlainText,PlainText_1KB.txt,1024,0.000148,0.00302,1.48e-06,3.02e-05
PlainText,PlainText_488KB.txt,500000,0.045068,0.026752,0.00045068,0.00026752
PlainText,PlainText_2441KB.txt,2500000,0.27539,0.121111,0.0027539,0.00121111
PlainText,PlainText_500MB.txt,500000000,55.002294,23.837871,0.55002294,0.23837871
BinaryDLL,Binary_1KB.dll,1024,0.000145,0.003934,1.45e-06,3.934e-05
BinaryDLL,Binary_488KB.dll,500000,0.045734,0.027211,0.00045734,0.00027211
BinaryDLL,Binary_2441KB.dll,2500000,0.282582,0.122048,0.00282582,0.00122048
BinaryDLL,Binary_500MB.dll,500000000,70.192043,36.101513,0.70192043,0.36101513
ImageJPG,Image_720p.jpg,695962,0.08892,0.037378,0.0008892,0.00037378
ImageJPG,Image_1080p.jpg,1566658,0.187356,0.077503,0.00187356,0.00077503
ImageJPG,Image_4k.jpg,6258715,1.215166,0.303433,0.01215166,0.00303433
